data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
1/5/2025,2024,4,Region 3,Fentanyl,4/30/2024,7967,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2024,5,Region 3,Fentanyl,5/31/2024,7637,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2024,6,Region 3,Fentanyl,6/30/2024,7325,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,1,Region 4,Fentanyl,1/31/2019,5747,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,2,Region 4,Fentanyl,2/28/2019,5773,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,3,Region 4,Fentanyl,3/31/2019,5933,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,4,Region 4,Fentanyl,4/30/2019,6046,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,5,Region 4,Fentanyl,5/31/2019,6090,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,6,Region 4,Fentanyl,6/30/2019,6219,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,7,Region 4,Fentanyl,7/31/2019,6342,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,8,Region 4,Fentanyl,8/31/2019,6468,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,9,Region 4,Fentanyl,9/30/2019,6684,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,10,Region 4,Fentanyl,10/31/2019,6896,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,11,Region 4,Fentanyl,11/30/2019,7068,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,12,Region 4,Fentanyl,12/31/2019,7286,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,1,Region 4,Fentanyl,1/31/2020,7469,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,2,Region 4,Fentanyl,2/29/2020,7741,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,3,Region 4,Fentanyl,3/31/2020,8161,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,4,Region 4,Fentanyl,4/30/2020,8772,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,5,Region 4,Fentanyl,5/31/2020,9802,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,6,Region 4,Fentanyl,6/30/2020,10433,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,7,Region 4,Fentanyl,7/31/2020,11021,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,8,Region 4,Fentanyl,8/31/2020,11605,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,9,Region 4,Fentanyl,9/30/2020,12060,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,10,Region 4,Fentanyl,10/31/2020,12431,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,11,Region 4,Fentanyl,11/30/2020,12860,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2020,12,Region 4,Fentanyl,12/31/2020,13273,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,1,Region 4,Fentanyl,1/31/2021,13902,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,2,Region 4,Fentanyl,2/28/2021,14363,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,3,Region 4,Fentanyl,3/31/2021,14906,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,4,Region 4,Fentanyl,4/30/2021,15380,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,5,Region 4,Fentanyl,5/31/2021,15335,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,6,Region 4,Fentanyl,6/30/2021,15596,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,7,Region 4,Fentanyl,7/31/2021,15812,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,8,Region 4,Fentanyl,8/31/2021,16068,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,9,Region 4,Fentanyl,9/30/2021,16397,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,10,Region 4,Fentanyl,10/31/2021,16812,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,11,Region 4,Fentanyl,11/30/2021,17034,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2021,12,Region 4,Fentanyl,12/31/2021,17390,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,1,Region 4,Fentanyl,1/31/2022,17368,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,2,Region 4,Fentanyl,2/28/2022,17575,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,3,Region 4,Fentanyl,3/31/2022,17634,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,4,Region 4,Fentanyl,4/30/2022,17502,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,5,Region 4,Fentanyl,5/31/2022,17490,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,6,Region 4,Fentanyl,6/30/2022,17476,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,7,Region 4,Fentanyl,7/31/2022,17630,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,8,Region 4,Fentanyl,8/31/2022,17728,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,9,Region 4,Fentanyl,9/30/2022,17780,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,10,Region 4,Fentanyl,10/31/2022,17854,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,11,Region 4,Fentanyl,11/30/2022,17977,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2022,12,Region 4,Fentanyl,12/31/2022,18018,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,1,Region 4,Fentanyl,1/31/2023,18179,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,2,Region 4,Fentanyl,2/28/2023,18202,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,3,Region 4,Fentanyl,3/31/2023,18173,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,4,Region 4,Fentanyl,4/30/2023,18196,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,5,Region 4,Fentanyl,5/31/2023,18317,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,6,Region 4,Fentanyl,6/30/2023,18292,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,7,Region 4,Fentanyl,7/31/2023,18138,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,8,Region 4,Fentanyl,8/31/2023,18064,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,9,Region 4,Fentanyl,9/30/2023,17912,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,10,Region 4,Fentanyl,10/31/2023,17631,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,11,Region 4,Fentanyl,11/30/2023,17342,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2023,12,Region 4,Fentanyl,12/31/2023,17046,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2024,1,Region 4,Fentanyl,1/31/2024,16693,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2024,2,Region 4,Fentanyl,2/29/2024,16260,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2024,3,Region 4,Fentanyl,3/31/2024,15641,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2024,4,Region 4,Fentanyl,4/30/2024,15032,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2024,5,Region 4,Fentanyl,5/31/2024,14318,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2024,6,Region 4,Fentanyl,6/30/2024,13646,"Kentucky, Tennessee, Alabama, Mississippi"
1/5/2025,2019,1,Region 5,Fentanyl,1/31/2019,7207,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,2,Region 5,Fentanyl,2/28/2019,7187,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,3,Region 5,Fentanyl,3/31/2019,7240,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,4,Region 5,Fentanyl,4/30/2019,7297,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,5,Region 5,Fentanyl,5/31/2019,7450,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,6,Region 5,Fentanyl,6/30/2019,7479,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,7,Region 5,Fentanyl,7/31/2019,7506,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,8,Region 5,Fentanyl,8/31/2019,7554,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,9,Region 5,Fentanyl,9/30/2019,7640,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,10,Region 5,Fentanyl,10/31/2019,7747,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,11,Region 5,Fentanyl,11/30/2019,7974,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2019,12,Region 5,Fentanyl,12/31/2019,8069,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,1,Region 5,Fentanyl,1/31/2020,8230,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,2,Region 5,Fentanyl,2/29/2020,8483,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,3,Region 5,Fentanyl,3/31/2020,8594,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,4,Region 5,Fentanyl,4/30/2020,8973,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,5,Region 5,Fentanyl,5/31/2020,9655,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,6,Region 5,Fentanyl,6/30/2020,10174,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,7,Region 5,Fentanyl,7/31/2020,10476,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,8,Region 5,Fentanyl,8/31/2020,10742,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,9,Region 5,Fentanyl,9/30/2020,11022,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,10,Region 5,Fentanyl,10/31/2020,11240,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,11,Region 5,Fentanyl,11/30/2020,11373,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2020,12,Region 5,Fentanyl,12/31/2020,11625,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,1,Region 5,Fentanyl,1/31/2021,11908,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,2,Region 5,Fentanyl,2/28/2021,11996,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,3,Region 5,Fentanyl,3/31/2021,12398,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,4,Region 5,Fentanyl,4/30/2021,12652,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,5,Region 5,Fentanyl,5/31/2021,12406,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,6,Region 5,Fentanyl,6/30/2021,12306,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,7,Region 5,Fentanyl,7/31/2021,12476,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,8,Region 5,Fentanyl,8/31/2021,12686,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,9,Region 5,Fentanyl,9/30/2021,12818,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,10,Region 5,Fentanyl,10/31/2021,12971,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,11,Region 5,Fentanyl,11/30/2021,13156,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,12,Region 5,Fentanyl,12/31/2021,13277,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,1,Region 5,Fentanyl,1/31/2022,13458,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,2,Region 5,Fentanyl,2/28/2022,13637,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,3,Region 5,Fentanyl,3/31/2022,13562,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,4,Region 5,Fentanyl,4/30/2022,13331,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,5,Region 5,Fentanyl,5/31/2022,13235,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,6,Region 5,Fentanyl,6/30/2022,13244,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,7,Region 5,Fentanyl,7/31/2022,13196,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,8,Region 5,Fentanyl,8/31/2022,13200,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,9,Region 5,Fentanyl,9/30/2022,13120,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,10,Region 5,Fentanyl,10/31/2022,13214,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,11,Region 5,Fentanyl,11/30/2022,13227,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2022,12,Region 5,Fentanyl,12/31/2022,13280,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,1,Region 5,Fentanyl,1/31/2023,13213,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,2,Region 5,Fentanyl,2/28/2023,13203,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,3,Region 5,Fentanyl,3/31/2023,13218,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,4,Region 5,Fentanyl,4/30/2023,13282,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,5,Region 5,Fentanyl,5/31/2023,13322,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,6,Region 5,Fentanyl,6/30/2023,13290,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,7,Region 5,Fentanyl,7/31/2023,13186,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,8,Region 5,Fentanyl,8/31/2023,13084,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,9,Region 5,Fentanyl,9/30/2023,12992,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,10,Region 5,Fentanyl,10/31/2023,12716,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,11,Region 5,Fentanyl,11/30/2023,12400,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2023,12,Region 5,Fentanyl,12/31/2023,12092,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2024,1,Region 5,Fentanyl,1/31/2024,11734,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2024,2,Region 5,Fentanyl,2/29/2024,11376,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2024,3,Region 5,Fentanyl,3/31/2024,10954,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2024,4,Region 5,Fentanyl,4/30/2024,10547,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2024,5,Region 5,Fentanyl,5/31/2024,10083,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2024,6,Region 5,Fentanyl,6/30/2024,9647,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin"
1/5/2025,2021,4,Region 6,Fentanyl,4/30/2021,3027,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2021,5,Region 6,Fentanyl,5/31/2021,3168,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2021,6,Region 6,Fentanyl,6/30/2021,3277,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2021,7,Region 6,Fentanyl,7/31/2021,3427,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2021,8,Region 6,Fentanyl,8/31/2021,3544,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2021,9,Region 6,Fentanyl,9/30/2021,3692,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2021,10,Region 6,Fentanyl,10/31/2021,3829,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2021,11,Region 6,Fentanyl,11/30/2021,3981,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2021,12,Region 6,Fentanyl,12/31/2021,4106,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,1,Region 6,Fentanyl,1/31/2022,4204,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,2,Region 6,Fentanyl,2/28/2022,4361,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,3,Region 6,Fentanyl,3/31/2022,4405,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,4,Region 6,Fentanyl,4/30/2022,4465,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,5,Region 6,Fentanyl,5/31/2022,4525,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,6,Region 6,Fentanyl,6/30/2022,4580,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,7,Region 6,Fentanyl,7/31/2022,4628,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,8,Region 6,Fentanyl,8/31/2022,4677,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,9,Region 6,Fentanyl,9/30/2022,4735,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,10,Region 6,Fentanyl,10/31/2022,4882,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,11,Region 6,Fentanyl,11/30/2022,4917,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2022,12,Region 6,Fentanyl,12/31/2022,5028,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,1,Region 6,Fentanyl,1/31/2023,5055,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,2,Region 6,Fentanyl,2/28/2023,5039,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,3,Region 6,Fentanyl,3/31/2023,5073,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,4,Region 6,Fentanyl,4/30/2023,5133,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,5,Region 6,Fentanyl,5/31/2023,5157,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,6,Region 6,Fentanyl,6/30/2023,5206,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,7,Region 6,Fentanyl,7/31/2023,5225,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,8,Region 6,Fentanyl,8/31/2023,5253,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,9,Region 6,Fentanyl,9/30/2023,5230,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,10,Region 6,Fentanyl,10/31/2023,5150,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,11,Region 6,Fentanyl,11/30/2023,5154,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2023,12,Region 6,Fentanyl,12/31/2023,5052,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2024,1,Region 6,Fentanyl,1/31/2024,5015,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2024,2,Region 6,Fentanyl,2/29/2024,4947,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2024,3,Region 6,Fentanyl,3/31/2024,4840,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2024,4,Region 6,Fentanyl,4/30/2024,4712,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2024,5,Region 6,Fentanyl,5/31/2024,4570,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2024,6,Region 6,Fentanyl,6/30/2024,4395,"Arkansas, Louisiana, New Mexico, Oklahoma, Texas"
1/5/2025,2020,3,Region 9,Fentanyl,3/31/2020,3156,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,4,Region 9,Fentanyl,4/30/2020,3416,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,5,Region 9,Fentanyl,5/31/2020,3781,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,6,Region 9,Fentanyl,6/30/2020,4154,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,7,Region 9,Fentanyl,7/31/2020,4531,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,8,Region 9,Fentanyl,8/31/2020,4947,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,9,Region 9,Fentanyl,9/30/2020,5192,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,10,Region 9,Fentanyl,10/31/2020,5497,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,11,Region 9,Fentanyl,11/30/2020,5767,"Arizona, California, Hawaii, Nevada"
1/5/2025,2020,12,Region 9,Fentanyl,12/31/2020,6008,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,1,Region 9,Fentanyl,1/31/2021,6347,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,2,Region 9,Fentanyl,2/28/2021,6574,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,3,Region 9,Fentanyl,3/31/2021,6856,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,4,Region 9,Fentanyl,4/30/2021,7123,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,5,Region 9,Fentanyl,5/31/2021,7315,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,6,Region 9,Fentanyl,6/30/2021,7525,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,7,Region 9,Fentanyl,7/31/2021,7655,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,8,Region 9,Fentanyl,8/31/2021,7770,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,9,Region 9,Fentanyl,9/30/2021,8012,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,10,Region 9,Fentanyl,10/31/2021,8211,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,11,Region 9,Fentanyl,11/30/2021,8350,"Arizona, California, Hawaii, Nevada"
1/5/2025,2021,12,Region 9,Fentanyl,12/31/2021,8506,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,1,Region 9,Fentanyl,1/31/2022,8519,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,2,Region 9,Fentanyl,2/28/2022,8653,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,3,Region 9,Fentanyl,3/31/2022,8683,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,4,Region 9,Fentanyl,4/30/2022,8701,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,5,Region 9,Fentanyl,5/31/2022,8696,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,6,Region 9,Fentanyl,6/30/2022,8672,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,7,Region 9,Fentanyl,7/31/2022,8761,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,8,Region 9,Fentanyl,8/31/2022,8752,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,9,Region 9,Fentanyl,9/30/2022,8811,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,10,Region 9,Fentanyl,10/31/2022,8841,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,11,Region 9,Fentanyl,11/30/2022,8915,"Arizona, California, Hawaii, Nevada"
1/5/2025,2022,12,Region 9,Fentanyl,12/31/2022,9031,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,1,Region 9,Fentanyl,1/31/2023,9194,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,2,Region 9,Fentanyl,2/28/2023,9230,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,3,Region 9,Fentanyl,3/31/2023,9389,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,4,Region 9,Fentanyl,4/30/2023,9534,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,5,Region 9,Fentanyl,5/31/2023,9721,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,6,Region 9,Fentanyl,6/30/2023,9827,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,7,Region 9,Fentanyl,7/31/2023,10006,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,8,Region 9,Fentanyl,8/31/2023,10135,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,9,Region 9,Fentanyl,9/30/2023,10129,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,10,Region 9,Fentanyl,10/31/2023,10118,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,11,Region 9,Fentanyl,11/30/2023,10069,"Arizona, California, Hawaii, Nevada"
1/5/2025,2023,12,Region 9,Fentanyl,12/31/2023,9980,"Arizona, California, Hawaii, Nevada"
1/5/2025,2024,1,Region 9,Fentanyl,1/31/2024,9874,"Arizona, California, Hawaii, Nevada"
1/5/2025,2024,2,Region 9,Fentanyl,2/29/2024,9762,"Arizona, California, Hawaii, Nevada"
1/5/2025,2024,3,Region 9,Fentanyl,3/31/2024,9575,"Arizona, California, Hawaii, Nevada"
1/5/2025,2024,4,Region 9,Fentanyl,4/30/2024,9333,"Arizona, California, Hawaii, Nevada"
1/5/2025,2024,5,Region 9,Fentanyl,5/31/2024,9050,"Arizona, California, Hawaii, Nevada"
