data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
2025-01-05,2019,12,United States,Gabapentin,2019-12-31,2579.0,
2025-01-05,2019,12,United States,Heroin,2019-12-31,14525.0,
2025-01-05,2019,12,United States,Methamphetamine,2019-12-31,15096.0,
2025-01-05,2019,12,United States,Oxycodone,2019-12-31,4630.0,
2025-01-05,2019,12,United States,Xylazine,2019-12-31,870.0,
2025-01-05,2020,1,United States,Cocaine,2020-01-31,17356.0,
2025-01-05,2020,1,United States,Fentanyl,2020-01-31,36420.0,
2025-01-05,2020,1,United States,Gabapentin,2020-01-31,2713.0,
2025-01-05,2020,1,United States,Heroin,2020-01-31,14456.0,
2025-01-05,2020,1,United States,Methamphetamine,2020-01-31,15370.0,
2025-01-05,2020,1,United States,Oxycodone,2020-01-31,4679.0,
2025-01-05,2020,1,United States,Xylazine,2020-01-31,923.0,
2025-01-05,2020,2,United States,Cocaine,2020-02-29,17784.0,
2025-01-05,2020,2,United States,Fentanyl,2020-02-29,37554.0,
2025-01-05,2020,2,United States,Gabapentin,2020-02-29,2851.0,
2025-01-05,2020,2,United States,Heroin,2020-02-29,14420.0,
2025-01-05,2020,2,United States,Methamphetamine,2020-02-29,15790.0,
2025-01-05,2020,2,United States,Oxycodone,2020-02-29,4690.0,
2025-01-05,2020,2,United States,Xylazine,2020-02-29,1009.0,
2025-01-05,2020,3,United States,Cocaine,2020-03-31,18256.0,
2025-01-05,2020,3,United States,Fentanyl,2020-03-31,38829.0,
2025-01-05,2020,3,United States,Gabapentin,2020-03-31,3007.0,
2025-01-05,2020,3,United States,Heroin,2020-03-31,14349.0,
2025-01-05,2020,3,United States,Methamphetamine,2020-03-31,16307.0,
2025-01-05,2020,3,United States,Oxycodone,2020-03-31,4728.0,
2025-01-05,2020,3,United States,Xylazine,2020-03-31,1051.0,
2025-01-05,2020,4,United States,Cocaine,2020-04-30,18963.0,
2025-01-05,2020,4,United States,Fentanyl,2020-04-30,40948.0,
2025-01-05,2020,4,United States,Gabapentin,2020-04-30,3230.0,
2025-01-05,2020,4,United States,Heroin,2020-04-30,14470.0,
2025-01-05,2020,4,United States,Methamphetamine,2020-04-30,17050.0,
2025-01-05,2020,4,United States,Oxycodone,2020-04-30,4750.0,
2025-01-05,2020,4,United States,Xylazine,2020-04-30,1109.0,
2025-01-05,2020,5,United States,Cocaine,2020-05-31,19820.0,
2025-01-05,2020,5,United States,Fentanyl,2020-05-31,44246.0,
2025-01-05,2020,5,United States,Gabapentin,2020-05-31,3460.0,
2025-01-05,2020,5,United States,Heroin,2020-05-31,14792.0,
2025-01-05,2020,5,United States,Methamphetamine,2020-05-31,17920.0,
2025-01-05,2020,5,United States,Oxycodone,2020-05-31,4908.0,
2025-01-05,2020,5,United States,Xylazine,2020-05-31,1220.0,
2025-01-05,2020,6,United States,Cocaine,2020-06-30,20292.0,
2025-01-05,2020,6,United States,Fentanyl,2020-06-30,46541.0,
2025-01-05,2020,6,United States,Gabapentin,2020-06-30,3550.0,
2025-01-05,2020,6,United States,Heroin,2020-06-30,14820.0,
2025-01-05,2020,6,United States,Methamphetamine,2020-06-30,18590.0,
2025-01-05,2020,6,United States,Oxycodone,2020-06-30,4951.0,
2025-01-05,2020,6,United States,Xylazine,2020-06-30,1308.0,
2025-01-05,2020,7,United States,Cocaine,2020-07-31,20630.0,
2025-01-05,2020,7,United States,Fentanyl,2020-07-31,48580.0,
2025-01-05,2020,7,United States,Gabapentin,2020-07-31,3690.0,
2025-01-05,2020,7,United States,Heroin,2020-07-31,14783.0,
2025-01-05,2020,7,United States,Methamphetamine,2020-07-31,19310.0,
2025-01-05,2020,7,United States,Oxycodone,2020-07-31,4992.0,
2025-01-05,2020,7,United States,Xylazine,2020-07-31,1365.0,
2025-01-05,2020,8,United States,Cocaine,2020-08-31,20812.0,
2025-01-05,2020,8,United States,Fentanyl,2020-08-31,50413.0,
2025-01-05,2020,8,United States,Gabapentin,2020-08-31,3811.0,
2025-01-05,2020,8,United States,Heroin,2020-08-31,14649.0,
2025-01-05,2020,8,United States,Methamphetamine,2020-08-31,20279.0,
2025-01-05,2020,8,United States,Oxycodone,2020-08-31,5076.0,
